"Title";"Seed";"Leech";"Poidsdutorrent";"date";"Categories";"Genre";"Plot"
"Deadpool 2 MULTi 4K ULTRA HD x265 2018";"0";"0";"26.19GB";"26/01/2020";"Films";"Action,Aventure";NA
"Deadpool TRUEFRENCH DVDRIP 2016";"0";"0";"1.38GB";"26/01/2020";"Films";"Action,Aventure";"Deadpool, est l'anti-héros le plus atypique de l'univers Marvel. A l'origine, il s'appelle Wade Wilson : un ancien militaire des Forces Spéciales devenu mercenaire. Après avoir subi une expérimentation hors norme qui va accélérer ses pouvoirs de guérison, il va devenir Deadpool. Armé de ses nouvelles capacités et d'un humour noir survolté, Deadpool va traquer l'homme qui a bien failli anéantir sa vie."
"L'Ombre d'Emily TRUEFRENCH DVDRIP 2018";"466";"324";"699.85MB";"25/01/2020";"Films";"Policier,Thriller";"Stephanie cherche à découvrir la vérité sur la soudaine disparition de sa meilleure amie Emily."
"Sextuplés FRENCH WEBRIP 2019";"541";"259";"694.99MB";"25/01/2020";"Films";"Comédie";"Sur le point de devenir père, Alan découvre qu'il a cinq frères jumeaux et se lance sur leurs traces en compagnie de l'un d'eux, déterminé à recomposer sa famille."
"Frontier FRENCH DVDRIP 2019";"426";"117";"693.15MB";"25/01/2020";"Films";"Action,Aventure";"Mikhail, un homme d’affaire cynique, tente d’extraire le sable d’une ancienne zone de bataille du siège de Leningrad qui abrite les corps de nombreux soldats russes. Un incident se produit et Mikhail découvre un portail lui permettant de voyager dans le temps, en pleine Seconde Guerre mondiale. Coincé entre sa réalité et des sauts temporels au cœur du front sanglant de l’Est, Mikhail se retrouve dans une quête du temps qui changera à jamais sa destinée."
"La Malédiction de la Dame blanche VOSTFR WEBRIP 2019";"75";"40";"464.21MB";"25/01/2020";"Films";"Epouvante-horreur";"La Dame Blanche. Spectre terrifiant, pris en étau entre le paradis et l'enfer, piégé par un terrible destin dont elle est elle-même l'artisan. La seule évocation de son nom sème la terreur dans le monde depuis des siècles. Quand elle était en vie, elle a noyé ses enfants dans un accès de folle jalousie, puis, dévastée par le chagrin, elle s'est jetée dans le fleuve déchaîné."
"Identités FRENCH WEBRIP 2019";"721";"235";"693.67MB";"25/01/2020";"Films";"Drame";"Inspiré d’une histoire vraie, un jeune homme de bonne famille se transforme en l'un des plus habiles et des plus séduisants fraudeurs, détruisant du même coup les rêves de gens innocents."
"Stars 80, la suite FRENCH DVDRIP 2018";"270";"92";"692.34MB";"25/01/2020";"Films";"Comédie";"Quatre ans maintenant que la tournée Stars 80 remplit les salles. Alors que les chanteurs partent pour une semaine de ski bien méritée, leurs producteurs Vincent et Antoine découvrent qu'ils ont été victimes d'une escroquerie et risquent de tout perdre. Seule solution pour couvrir leurs dettes : organiser LE concert du siècle en seulement 15 jours."
"Stars 80 FRENCH DVDRIP 2012";"24";"11";"703.99MB";"25/01/2020";"Films";"Comédie";"Afin de régler leurs problèmes financiers, Vincent et Antoine ont l’idée de faire remonter sur scène les Stars oubliées des années 80. La tournée de concerts va débuter dans la galère avant de cartonner en Province et de triompher au Stade de France !"
"Love Addict FRENCH DVDRIP 2018";"122";"53";"693.87MB";"25/01/2020";"Films";"Comédie";"Gabriel est un love addict, un amoureux compulsif des femmes. Un sourire, un regard, un parfum… Il craque. Mais à force de dérapages de plus en plus acrobatiques entre sa vie sociale et sa vie professionnelle, Gabriel est totalement grillé. Bien décidé à changer (ou du moins à essayer), il recourt aux services d’une agence de « Minder », sorte de coach personnel 2.0. C’est Marie-Zoé, aux méthodes plutôt atypiques, qui va prendre en main le cas de Gabriel pour une thérapie de choc …"
"L'Avare FRENCH DVDRIP 1980";"188";"140";"1.92GB";"25/01/2020";"Films";"Comédie";"Harpagon, un bourgeois avare, a une fils, Cléante, et une fille, Elise. Cette dernière est amoureuse de Valère, qui ne trouve d'autre solution pour se rapprocher de sa bien aimée que de se faire embaucher chez son père comme intendant. Cléante, lui, aime Marianne, une jeune femme sans aucune fortune que Harpagon veut aussi épouser. Le vieux bourgeois décide de marier sa fille au Seigneur Anselme car il accepte d'en faire son épouse sans dote..."
